0,24,61,83,61,83,0
12,23,33,29,0,0,1
0,1,2,1,24,15,1
0,13,17,32,17,32,1
0,26,32,32,32,32,0
6,2,20,75,20,75,0
0,4,43,16,0,0,1
0,10,71,34,8,124,1
0,85,2,160,51,175,1
0,5,2,51,0,17,0
4,19,79,0,79,0,1
10,3,59,46,59,46,1
0,0,28,22,29,40,1
27,75,44,8,50,33,0
12,32,40,75,9,32,1
0,24,43,22,11,63,1
0,0,61,3,37,7,1
4,55,21,40,25,90,0
0,19,61,73,115,105,0
0,35,26,1,26,1,1
27,27,31,51,12,98,1
2,39,44,65,44,65,1
0,8,44,128,0,7,1
5,29,16,20,1,21,1
0,14,53,82,54,37,1
26,75,46,362,134,358,0
0,0,48,214,48,214,1
5,42,72,57,36,29,1
32,58,41,110,4,133,1
0,0,0,0,0,0,1
4,19,17,97,17,97,1
17,97,17,97,17,97,1
6,30,43,13,13,11,0
2,22,74,153,55,123,0
30,31,44,100,92,86,1
3,7,0,30,1,89,1
2,26,47,15,49,39,1
0,18,72,26,88,0,1
0,19,100,84,100,84,1
16,24,23,16,20,116,1
0,28,98,32,98,32,1
0,11,41,75,26,60,0
0,4,94,166,48,81,1
6,29,64,54,7,18,1
10,53,39,101,50,192,1
36,17,19,33,82,69,1
3,44,46,239,18,167,0
20,18,2,28,2,28,0
10,20,51,6,51,6,0
0,14,24,18,24,18,0
14,7,18,16,18,16,0
11,38,49,104,27,131,1
45,0,10,0,10,0,1
18,20,12,0,12,0,0
0,0,89,55,13,65,1
51,61,59,28,59,28,1
0,0,60,258,42,175,1
0,31,0,0,0,0,1
10,27,38,1,11,53,1
27,58,38,116,38,116,1
38,116,73,156,29,132,0
38,33,39,89,39,89,1
16,14,12,5,12,5,0
14,23,73,34,14,152,1
13,0,55,80,4,87,0
0,0,84,117,84,117,0
0,0,41,6,45,34,0
0,4,18,123,18,9,1
7,15,60,138,60,138,0
0,2,41,131,41,131,1
20,41,2,36,42,10,0
0,5,3,27,94,37,1
37,92,73,73,45,43,0
19,35,13,2,65,94,0
9,61,47,94,47,94,1
0,0,19,37,19,37,0
0,22,56,121,37,119,0
0,0,1,0,0,0,1
16,5,66,1,77,118,0
0,51,41,155,41,155,0
4,15,47,1,39,133,1
12,119,127,120,127,120,1
0,42,136,77,0,4,0
0,0,119,88,40,73,0
23,61,9,11,9,11,0
20,53,30,16,13,11,0
23,62,39,71,39,71,0
1,18,40,30,0,0,0
0,20,22,19,54,24,1
0,0,131,95,131,95,1
25,39,39,181,39,174,0
0,0,1,76,1,76,0
5,16,21,1,54,3,0
8,12,10,55,33,33,1
0,1,13,1,13,1,0
8,21,6,24,7,113,0
32,44,73,7,0,5,0
16,31,84,47,84,47,0
0,0,43,56,23,216,0
8,11,54,130,0,21,0
0,55,4,173,4,173,1
8,45,0,7,0,7,0
15,49,68,2,36,9,0
0,2,43,5,63,122,0
0,12,119,33,0,50,1
0,47,105,251,105,251,1
0,68,29,45,52,6,1
2,28,1,0,1,0,0
9,17,45,3,45,3,0
8,27,145,151,145,151,0
3,18,58,179,85,113,0
6,35,45,104,37,40,0
6,28,225,259,225,259,1
225,259,51,18,51,18,0
11,1,12,0,66,31,0
16,50,99,143,99,143,0
0,1,16,65,35,3,1
0,18,105,71,105,71,1
0,30,56,182,6,237,1
2,8,8,19,8,19,0
0,0,4,0,10,1,0
6,32,53,41,6,33,1
12,38,67,101,68,267,0
7,0,31,56,31,56,0
27,53,39,61,0,4,0
0,0,13,58,0,31,1
10,23,36,72,24,68,1
4,54,26,191,26,191,0
0,12,34,60,34,60,0
13,16,41,15,16,29,1
0,0,34,75,34,75,1
34,75,50,17,50,17,0
0,49,114,115,0,5,1
20,50,70,60,0,15,0
14,13,30,60,30,60,0
30,60,48,212,18,247,1
0,0,2,0,2,0,0
0,4,45,78,45,78,0
0,10,22,67,0,0,1
4,48,62,62,126,42,0
5,13,11,2,20,2,1
0,0,0,9,0,0,1
10,61,76,43,72,198,1
0,10,18,81,0,146,0
0,10,31,10,31,10,0
5,0,13,12,13,12,1
0,13,28,97,19,81,1
18,38,19,46,12,33,1
30,27,16,37,22,8,0
0,2,38,13,38,13,1
35,86,10,146,10,146,1
13,16,19,10,0,37,1
0,0,44,195,44,195,1
2,20,81,12,55,20,0
25,7,132,160,132,160,1
22,34,12,23,12,23,1
12,23,12,23,12,23,0
0,18,49,168,61,69,0
61,69,55,101,41,176,0
1,22,4,24,0,9,0
0,17,200,177,200,177,1
0,0,52,0,52,0,1
0,18,42,9,25,49,1
0,17,47,128,59,211,0
13,81,52,98,23,128,1
0,14,66,64,66,64,0
4,28,278,231,116,157,0
7,12,47,158,0,0,0
0,1,40,44,40,44,1
6,32,101,96,101,96,0
0,0,64,160,12,223,0
0,20,44,14,44,14,0
20,22,62,35,62,35,0
0,0,56,140,56,140,0
5,10,42,137,24,29,0
0,4,66,34,0,0,0
11,5,26,68,26,68,0
36,37,65,11,65,11,0
27,42,11,60,0,16,0
3,33,23,2,23,2,0
3,1,11,9,5,9,0
8,42,11,0,0,0,0
2,20,40,133,40,133,0
0,4,47,151,0,0,0
5,55,3,18,0,0,0
9,16,59,60,17,41,0
0,12,214,353,214,353,0
4,2,55,51,55,51,0
0,8,94,187,146,223,0
2,28,1,14,11,28,0
20,13,16,0,2,0,0
2,0,59,94,42,49,0
2,7,7,13,7,13,0
0,0,1,22,0,0,0
0,0,35,27,4,5,0
36,15,25,52,25,52,0
0,0,9,56,0,96,0
4,7,34,97,69,98,0
2,23,4,0,4,0,0
43,54,29,114,55,235,0
0,11,0,48,0,48,0
0,6,76,118,76,118,0
15,16,107,74,52,184,0
11,22,14,18,14,18,0
1,0,3,24,44,51,0
